cost,eq_n,calc,u
0.0999999999999997,simulate,product,0.376135953111342
5e-06,analytic,simple,0.00158392239168853
6.29462705897083e-06,analytic,simple,0.00177763975087091
7.92446596230557e-06,analytic,simple,0.0019951111004971
9.97631157484439e-06,analytic,simple,0.00223926533371445
1.25594321575479e-05,analytic,simple,0.00251339669419093
1.58113883008419e-05,analytic,simple,0.00282121145361659
1.99053585276748e-05,analytic,simple,0.00316688084195045
2.50593616813636e-05,analytic,simple,0.00355510114354379
3.15478672240096e-05,analytic,simple,0.00399116202455207
3.97164117362141e-05,analytic,simple,0.0044810243403346
5e-05,analytic,simple,0.00503140889157869
6.29462705897083e-05,analytic,simple,0.00564989786460446
7.92446596230557e-05,analytic,simple,0.00634505101603274
9.97631157484439e-05,analytic,simple,0.0071265390590015
0.000125594321575479,analytic,simple,0.00800529719725434
0.000158113883008419,analytic,simple,0.00899370235832747
0.000199053585276748,analytic,simple,0.0101057784303171
0.000250593616813636,analytic,simple,0.0113574347496505
0.000315478672240097,analytic,simple,0.0127667442742096
0.000397164117362141,analytic,simple,0.0143542693791142
5e-04,analytic,simple,0.0161434451237769
0.000629462705897084,analytic,simple,0.0181610322764565
0.000792446596230557,analytic,simple,0.020437655481744
0.000997631157484441,analytic,simple,0.0230084458521793
0.00125594321575479,analytic,simple,0.0259138120725206
0.00158113883008419,analytic,simple,0.0292003699258725
0.00199053585276749,analytic,simple,0.0329220669708198
0.00250593616813636,analytic,simple,0.0371415458536447
0.00315478672240097,analytic,simple,0.0419317910946166
0.00397164117362141,analytic,simple,0.047378084509462
0.005,analytic,simple,0.0535802234244785
0.00629462705897084,analytic,simple,0.0606547970149938
0.00792446596230557,analytic,simple,0.0687370571556584
0.0099763115748444,analytic,simple,0.0779816135618007
0.0125594321575479,analytic,simple,0.0885609505594217
0.0158113883008419,analytic,simple,0.100660712138201
0.0199053585276749,analytic,simple,0.114470789999758
0.0250593616813636,analytic,simple,0.130171283280178
0.0315478672240097,analytic,simple,0.147912331774853
0.0397164117362141,analytic,simple,0.16778711528615
0.05,analytic,simple,0.189798810377854
0.0629462705897084,analytic,simple,0.213825504833585
0.0792446596230557,analytic,simple,0.239591311907408
0.0999999999999997,analytic,simple,0.26693864186952
