x,y,fig
0.0184466019417475,1.02402651201326,A
0.0218446601941748,1.02402651201326,A
0.0184466019417475,1.013256006628,A
0.0344660194174757,0.980115990057995,A
0.0446601941747573,0.968516984258492,A
0.0446601941747573,0.951946975973488,A
0.0344660194174757,0.951946975973488,A
0.0543689320388349,0.902236951118476,A
0.0669902912621359,0.935376967688484,A
0.0902912621359223,0.796188898094449,A
0.145631067961165,0.796188898094449,A
0.194174757281553,0.706710853355427,A
0.174757281553398,0.645401822700911,A
0.158252427184466,0.6006628003314,A
0.184466019417476,0.47887323943662,A
0.220388349514563,0.467274233637117,A
0.236893203883495,0.456503728251864,A
0.184466019417476,0.40016570008285,A
0.187864077669903,0.377796188898095,A
0.272330097087379,0.344656172328086,A
0.216990291262136,0.310687655343828,A
0.298543689320388,0.250207125103563,A
0.252912621359223,0.105219552609777,A
0.288834951456311,0.105219552609777,A
0.27621359223301,0.0828500414250211,A
0.298543689320388,0.0381110190555096,A
0.021256038647343,0.980246913580247,B
0.0314009661835749,0.980246913580247,B
0.0410628019323672,0.968724279835391,B
0.027536231884058,0.962962962962963,B
0.0285024154589372,0.957201646090535,B
0.0309178743961352,0.940740740740741,B
0.0444444444444444,0.935802469135803,B
0.0478260869565217,0.930041152263374,B
0.0439613526570048,0.923456790123457,B
0.0898550724637681,0.85761316872428,B
0.161835748792271,0.668312757201646,B
0.161835748792271,0.6559670781893,B
0.17487922705314,0.57283950617284,B
0.246859903381643,0.349794238683128,B
0.269565217391304,0.188477366255144,B
0.279227053140097,0.182716049382716,B
0.292270531400966,0.0716049382716051,B
-0.166481687014425,1,C
60.0998890122087,0.628585494613229,C
120.366259711432,0.43806305843713,C
179.633740288568,0.3359821944516,C
239.900110987791,0.0807247634396814,C
0,1,dong_line
0.01,0.98928135,dong_line
0.02,0.9771254,dong_line
0.03,0.96353215,dong_line
0.04,0.9485016,dong_line
0.05,0.93203375,dong_line
0.06,0.9141286,dong_line
0.07,0.89478615,dong_line
0.08,0.8740064,dong_line
0.09,0.85178935,dong_line
0.1,0.828135,dong_line
0.11,0.80304335,dong_line
0.12,0.7765144,dong_line
0.13,0.74854815,dong_line
0.14,0.7191446,dong_line
0.15,0.68830375,dong_line
0.16,0.6560256,dong_line
0.17,0.62231015,dong_line
0.18,0.5871574,dong_line
0.19,0.55056735,dong_line
0.2,0.51254,dong_line
0.21,0.47307535,dong_line
0.22,0.4321734,dong_line
0.23,0.38983415,dong_line
0.24,0.3460576,dong_line
0.25,0.30084375,dong_line
0.26,0.2541926,dong_line
0.27,0.20610415,dong_line
0.28,0.1565784,dong_line
0.29,0.10561535,dong_line
0.3,0.053215,dong_line
0.31,-0.000622650000000058,dong_line
0.32,-0.0558976000000001,dong_line
0,1,rothkamm_line
1,0.997650850181328,rothkamm_line
2,0.995245166581814,rothkamm_line
3,0.992783385126429,rothkamm_line
4,0.990265951154801,rothkamm_line
5,0.987693319287012,rothkamm_line
6,0.985065953286837,rothkamm_line
7,0.982384325922489,rothkamm_line
8,0.979648918824923,rothkamm_line
9,0.976860222343774,rothkamm_line
10,0.974018735400963,rothkamm_line
11,0.971124965342057,rothkamm_line
12,0.96817942778543,rothkamm_line
13,0.965182646469296,rothkamm_line
14,0.962135153096667,rothkamm_line
15,0.959037487178317,rothkamm_line
16,0.955890195873801,rothkamm_line
17,0.952693833830595,rothkamm_line
18,0.949448963021446,rothkamm_line
19,0.94615615257996,rothkamm_line
20,0.94281597863453,rothkamm_line
21,0.939429024140657,rothkamm_line
22,0.935995878711727,rothkamm_line
23,0.932517138448327,rothkamm_line
24,0.928993405766153,rothkamm_line
25,0.925425289222593,rothkamm_line
26,0.921813403342047,rothkamm_line
27,0.918158368440058,rothkamm_line
28,0.914460810446317,rothkamm_line
29,0.910721360726624,rothkamm_line
30,0.906940655903866,rothkamm_line
31,0.903119337678086,rothkamm_line
32,0.899258052645713,rothkamm_line
33,0.895357452118032,rothkamm_line
34,0.891418191938945,rothkamm_line
35,0.88744093230212,rothkamm_line
36,0.883426337567577,rothkamm_line
37,0.879375076077798,rothkamm_line
38,0.875287819973415,rothkamm_line
39,0.871165245008565,rothkamm_line
40,0.867008030365972,rothkamm_line
