cost,type,u
0.0999999999999997,DNA,0.333083883321998
0.0792446596230557,DNA,0.331458612586093
0.0629462705897083,DNA,0.30999196048053
0.05,DNA,0.276834077148504
0.0397164117362141,DNA,0.240124341466049
0.0315478672240097,DNA,0.20516851596033
0.0250593616813636,DNA,0.174315017986526
0.0199053585276748,DNA,0.148072073377181
0.0158113883008419,DNA,0.126113070752402
0.0125594321575479,DNA,0.107837199990463
0.00997631157484439,DNA,0.0926185852822252
0.00792446596230557,DNA,0.0798967968635502
0.00629462705897083,DNA,0.0692084837138672
0.005,DNA,0.0601716931094878
0.00397164117362141,DNA,0.0524843409668114
0.00315478672240097,DNA,0.0459071269809785
0.00250593616813636,DNA,0.0402383836934858
0.00199053585276749,DNA,0.0353332898778642
0.00158113883008419,DNA,0.0311439722958953
0.00125594321575479,DNA,0.0274476425832723
0.00099763115748444,DNA,0.0242231697828497
0.000792446596230557,DNA,0.0214028433864975
0.000629462705897084,DNA,0.0189303580682691
5e-04,DNA,0.0167435753510023
0.000397164117362141,DNA,0.0148586831214923
0.000315478672240097,DNA,0.0131742470674834
0.000250593616813636,DNA,0.0116873708468174
0.000199053585276749,DNA,0.010373534788253
0.000158113883008419,DNA,0.00921153240564885
0.000125594321575479,DNA,0.00818297048893047
9.97631157484441e-05,DNA,0.00727185421924018
7.92446596230557e-05,DNA,0.00646424193074336
6.29462705897084e-05,DNA,0.00574795390271235
5e-05,DNA,0.00511232939467279
