cost,u,w,n,Vn,n_max
9.97631157484439e-06,5e-04,0.993069097694025,36.849867697994,36.9099716303738,95
9.97631157484439e-06,0.000889139705019461,0.962301712278609,87.3091146041775,87.543082672707,147
9.97631157484439e-06,0.00158113883008419,0.883285403858986,157.357684716185,158.103015210239,233
9.97631157484439e-06,0.00281170662595175,0.677301546942884,279.375010640167,281.723009455251,379
9.97631157484439e-06,0.005,0.296266687334268,494.564484969607,501.93089042962,625
9.97631157484439e-06,0.00889139705019461,0.0232348899993029,871.793706862844,894.755211695563,1044
9.97631157484439e-06,0.0158113883008419,1.06537626458865e-05,1526.47959731764,1597.30160632543,1751
9.97631157484439e-06,0.0281170662595175,1.80463600386911e-15,2644.84715938384,2859.6819356475,2930
1.77406694616788e-05,5e-04,0.995075442504005,23.1005229424967,23.1372223023159,63
1.77406694616788e-05,0.000889139705019461,0.978397696261513,49.1417367860599,49.2733809551437,95
1.77406694616788e-05,0.00158113883008419,0.932591653477949,88.2680072171869,88.686454280286,147
1.77406694616788e-05,0.00281170662595175,0.803240880940496,156.880349487145,158.199460120333,233
1.77406694616788e-05,0.005,0.50456415077923,277.886597138529,282.02677628478,378
1.77406694616788e-05,0.00889139705019461,0.120571735045927,490.011700057668,502.919723475352,621
1.77406694616788e-05,0.0158113883008419,0.00159902205107004,858.157495478726,897.975925696432,1029
1.77406694616788e-05,0.0281170662595175,5.12096403248716e-09,1487.04132247115,1607.8395554889,1706
3.15478672240096e-05,5e-04,0.996800110154,13.765389741017,13.7869199546416,43
3.15478672240096e-05,0.000889139705019461,0.987724173135595,27.4983611728642,27.5721408328092,63
3.15478672240096e-05,0.00158113883008419,0.961520296055612,49.4152630123849,49.6498492997153,94
3.15478672240096e-05,0.00281170662595175,0.884087909050642,87.9965126444541,88.7370220412058,146
3.15478672240096e-05,0.005,0.68068966774902,156.039638998006,158.365522249071,232
3.15478672240096e-05,0.00889139705019461,0.304354057751264,275.319891418234,282.574408629196,375
3.15478672240096e-05,0.0158113883008419,0.026773635844526,482.332355390799,504.716092440736,612
3.15478672240096e-05,0.0281170662595175,2.17821655645535e-05,835.960911831295,903.876359555055,1004
3.15478672240096e-05,0.05,5.29396808804716e-14,1426.21751892581,1627.23960561655,1632
5.61009227150982e-05,5e-04,0.998041043084197,7.87698979773544,7.88924798925117,30
5.61009227150982e-05,0.000889139705019461,0.993060272508936,15.2697778423913,15.3109120571307,43
5.61009227150982e-05,0.00158113883008419,0.978182541136867,27.5667694528169,27.6979875235354,63
5.61009227150982e-05,0.00281170662595175,0.933077379035256,49.2603050576971,49.6754513671517,94
5.61009227150982e-05,0.005,0.805513572962949,87.5200660995673,88.8257151520838,146
5.61009227150982e-05,0.00889139705019461,0.512290610644702,154.589804549279,158.665127826454,231
5.61009227150982e-05,0.0158113883008419,0.130596469885863,270.990334482126,283.569830185937,370
5.61009227150982e-05,0.0281170662595175,0.00239164766901696,469.83153543427,508.00837178927,598
5.61009227150982e-05,0.05,3.42808563483926e-08,801.723159593748,914.744021930033,963
9.97631157484439e-05,5e-04,0.99884767907179,4.33400276391691,4.34078820548056,22
9.97631157484439e-05,0.000889139705019461,0.996093504083919,8.37477421851025,8.39750952015334,30
9.97631157484439e-05,0.00158113883008419,0.987682868605218,15.2803047525174,15.3533747441602,43
9.97631157484439e-05,0.00281170662595175,0.961812731426676,27.4773725941882,27.7095577090637,63
9.97631157484439e-05,0.005,0.885513192836394,48.9886524818178,49.7205672491587,94
9.97631157484439e-05,0.00889139705019461,0.686569481814344,86.698259981363,88.9857679133302,145
9.97631157484439e-05,0.0158113883008419,0.318383172673279,152.143957655298,159.210106837807,228
9.97631157484439e-05,0.0281170662595175,0.0335900497972831,263.941837210991,285.395427985,363
9.97631157484439e-05,0.05,6.35200879407558e-05,450.547379118946,514.075250622525,575
9.97631157484439e-05,0.0889139705019461,5.30660442931496e-12,752.69311404469,934.623804189498,899
0.000177406694616788,5e-04,0.999344793432409,2.26372459684554,2.2673386682961,20
0.000177406694616788,0.000889139705019461,0.997814983230198,4.49168904917816,4.50405696442077,22
0.000177406694616788,0.00158113883008419,0.993072499622507,8.37104499830773,8.41140099247893,30
0.000177406694616788,0.00281170662595175,0.978365553680955,15.2278562944774,15.3571303100048,43
0.000177406694616788,0.005,0.933948096113955,27.3208009869882,27.7300649087522,62
0.000177406694616788,0.00889139705019461,0.809467508708887,48.5200070273264,49.8021554016223,94
0.000177406694616788,0.0158113883008419,0.525520824425776,85.3116863785031,89.2774415663671,144
0.000177406694616788,0.0281170662595175,0.148425454514314,148.161504923786,160.210813518563,224
0.000177406694616788,0.05,0.00437085037921477,253.06675580638,288.762234736838,350
0.000177406694616788,0.0889139705019461,4.58736880151239e-07,422.923207470532,525.190382265981,540
0.000315478672240097,5e-04,0.999646623867443,1.07782842246066,1.07961539447278,20
0.000315478672240097,0.000889139705019461,0.998797734636146,2.30629938123359,2.31280991869483,20
0.000315478672240097,0.00158113883008419,0.996128071661453,4.48565404468272,4.5075921367988,22
0.000315478672240097,0.00281170662595175,0.987810670131096,8.33936805759561,8.41074502943525,30
0.000315478672240097,0.005,0.96235135993904,15.1360352698619,15.3638463619041,43
0.000315478672240097,0.00889139705019461,0.888015894134308,27.0507157122679,27.7674687252908,62
0.000315478672240097,0.0158113883008419,0.696600152821516,47.729060686381,49.9512957366669,93
0.000315478672240097,0.0281170662595175,0.342288424355319,83.0533577008615,89.8142274932261,142
0.000315478672240097,0.05,0.0472021984761695,142.015149991731,162.059003542163,217
