cost,threshold,u
3.15478672240096e-05,0.1,0.012505388106162
3.97164117362141e-05,0.1,0.0141093249064459
5e-05,0.1,0.0158629223353017
6.29462705897083e-05,0.1,0.0179176366203531
7.92446596230557e-05,0.1,0.0202350139996693
9.97631157484439e-05,0.1,0.0228310304010417
0.000125594321575479,0.1,0.0258516735939963
0.000158113883008419,0.1,0.0292466040491106
0.000199053585276748,0.1,0.0331467777448028
0.000250593616813636,0.1,0.0375772495513527
0.000315478672240097,0.1,0.0427230758134707
0.000397164117362141,0.1,0.0485626288620542
5e-04,0.1,0.0553418102642126
0.000629462705897083,0.1,0.0632075188858664
0.000792446596230557,0.1,0.0722922356229734
0.00099763115748444,0.1,0.0828888723657215
0.00125594321575479,0.1,0.095345072923789
0.00158113883008419,0.1,0.110015044416094
0.00199053585276749,0.1,0.127363912751763
0.00250593616813636,0.1,0.14807942186417
0.00315478672240097,0.1,0.173063134063102
0.00397164117362141,0.1,0.203451507330392
0.005,0.1,0.240932647823816
0.00629462705897084,0.1,0.287976338701659
0.00792446596230557,0.1,0.348484125071988
0.00997631157484439,0.1,0.429243435023797
0.0125594321575479,0.1,0.544230381291839
0.0158113883008419,0.1,0.735044712194261
0.0199053585276749,0.1,0.735044712194261
0.0250593616813636,0.1,0.735044712194261
0.0315478672240097,0.1,0.735044712194261
0.0397164117362141,0.1,0.735044712194261
0.05,0.1,0.735044712194261
0.0629462705897084,0.1,0.735044712194261
0.0792446596230557,0.1,0.735044712194261
0.099763115748444,0.1,0.735044712194261
9.97631157484439e-06,0.01,0.00987727794273714
1.25594321575479e-05,0.01,0.0110934811101346
1.58113883008419e-05,0.01,0.0125074464805165
1.99053585276748e-05,0.01,0.0140823914112474
2.50593616813636e-05,0.01,0.0159252415225126
3.15478672240096e-05,0.01,0.0179386517544244
3.9716411736214e-05,0.01,0.0202446621848516
5e-05,0.01,0.0228570740644534
6.29462705897083e-05,0.01,0.0258815714085094
7.92446596230557e-05,0.01,0.0292481085836818
9.97631157484439e-05,0.01,0.0331607008446701
0.000125594321575479,0.01,0.0376268833280459
0.000158113883008419,0.01,0.0427557072207343
0.000199053585276748,0.01,0.0485822288355156
0.000250593616813636,0.01,0.0553821571873123
0.000315478672240097,0.01,0.0632199936147908
0.00039716411736214,0.01,0.0723377749775194
5e-04,0.01,0.0829026357690089
0.000629462705897083,0.01,0.0953476338099958
0.000792446596230557,0.01,0.109940669306797
0.00099763115748444,0.01,0.127226571490507
0.00125594321575479,0.01,0.1478581935289
0.00158113883008419,0.01,0.17257867388934
0.00199053585276748,0.01,0.202639499849025
0.00250593616813636,0.01,0.23948653051954
0.00315478672240097,0.01,0.285483644733564
0.00397164117362141,0.01,0.344062128988185
0.005,0.01,0.420925333627375
0.00629462705897083,0.01,0.526938385690538
0.00792446596230557,0.01,0.687989876111508
0.00997631157484439,0.01,0.687989876111508
0.0125594321575479,0.01,0.687989876111508
0.0158113883008419,0.01,0.687989876111508
0.0199053585276749,0.01,0.687989876111508
0.0250593616813636,0.01,0.687989876111508
0.0315478672240097,0.01,0.687989876111508
0.0397164117362141,0.01,0.687989876111508
0.05,0.01,0.687989876111508
0.0629462705897084,0.01,0.687989876111508
0.0792446596230557,0.01,0.687989876111508
0.099763115748444,0.01,0.687989876111508
9.97631157484439e-06,0.001,0.0121568262565834
1.25594321575479e-05,0.001,0.0137161299048539
1.58113883008419e-05,0.001,0.0154079184277049
1.99053585276748e-05,0.001,0.0174205224513311
2.50593616813636e-05,0.001,0.0196523696787526
3.15478672240096e-05,0.001,0.0222030234189264
3.9716411736214e-05,0.001,0.0251110299846095
5e-05,0.001,0.0284063053957316
6.29462705897083e-05,0.001,0.0321953578674108
7.92446596230557e-05,0.001,0.0364948202373115
9.97631157484439e-05,0.001,0.0414252635157681
0.000125594321575479,0.001,0.0471081079405522
0.000158113883008419,0.001,0.0536617965231781
0.000199053585276748,0.001,0.0612182950959462
0.000250593616813636,0.001,0.0699690618009101
0.000315478672240097,0.001,0.0802123170623228
0.00039716411736214,0.001,0.0921252554748534
5e-04,0.001,0.1061558351907
0.000629462705897083,0.001,0.122720878408091
0.000792446596230557,0.001,0.142408574445505
0.00099763115748444,0.001,0.165996541473093
0.00125594321575479,0.001,0.194541073974469
0.00158113883008419,0.001,0.229438912161149
0.00199053585276748,0.001,0.27263189463899
0.00250593616813636,0.001,0.327233136069679
0.00315478672240097,0.001,0.397963730992617
0.00397164117362141,0.001,0.4933400057563
0.005,0.001,0.631452593205662
0.00629462705897083,0.001,0.871253721871098
0.00792446596230557,0.001,0.871253721871098
0.00997631157484439,0.001,0.871253721871098
0.0125594321575479,0.001,0.871253721871098
0.0158113883008419,0.001,0.871253721871098
0.0199053585276749,0.001,0.871253721871098
0.0250593616813636,0.001,0.871253721871098
0.0315478672240097,0.001,0.871253721871098
0.0397164117362141,0.001,0.871253721871098
0.05,0.001,0.871253721871098
0.0629462705897084,0.001,0.871253721871098
0.0792446596230557,0.001,0.871253721871098
0.099763115748444,0.001,0.871253721871098
9.97631157484439e-06,1e-06,0.0174249311133445
1.25594321575479e-05,1e-06,0.0197068421817139
1.58113883008419e-05,1e-06,0.022237368703694
1.99053585276748e-05,1e-06,0.0251250853542275
2.50593616813636e-05,1e-06,0.0284807423201574
3.15478672240096e-05,1e-06,0.0322223053932126
3.9716411736214e-05,1e-06,0.0365423423948263
5e-05,1e-06,0.0415152817777175
6.29462705897083e-05,1e-06,0.0471760906426966
7.92446596230557e-05,1e-06,0.0537291046060753
9.97631157484439e-05,1e-06,0.0613009874431421
0.000125594321575479,1e-06,0.0700522175727961
0.000158113883008419,1e-06,0.0803056281652575
0.000199053585276748,1e-06,0.0922392838384945
0.000250593616813636,1e-06,0.106237653728052
0.000315478672240097,1e-06,0.122786961307363
0.00039716411736214,1e-06,0.142464666118699
5e-04,1e-06,0.166061975555359
0.000629462705897083,1e-06,0.194538005024276
0.000792446596230557,1e-06,0.229304765600796
0.00099763115748444,1e-06,0.27230218227251
0.00125594321575479,1e-06,0.326476419696704
0.00158113883008419,1e-06,0.39643339753174
0.00199053585276748,1e-06,0.4900711721165
0.00250593616813636,1e-06,0.623814873383353
0.00315478672240097,1e-06,0.845402033620474
0.00397164117362141,1e-06,0.845402033620474
0.005,1e-06,0.845402033620474
0.00629462705897083,1e-06,0.845402033620474
0.00792446596230557,1e-06,0.845402033620474
0.00997631157484439,1e-06,0.845402033620474
0.0125594321575479,1e-06,0.845402033620474
0.0158113883008419,1e-06,0.845402033620474
0.0199053585276749,1e-06,0.845402033620474
0.0250593616813636,1e-06,0.845402033620474
0.0315478672240097,1e-06,0.845402033620474
0.0397164117362141,1e-06,0.845402033620474
0.05,1e-06,0.845402033620474
0.0629462705897084,1e-06,0.845402033620474
0.0792446596230557,1e-06,0.845402033620474
0.099763115748444,1e-06,0.845402033620474
